Sl.No.,x/c,P-P∞  (Pa) ,P0-P∞ (Pa),Cp 
1,0.00,164.535,169.008,0.974
2,0.08,178.018,169.008,1.053
3,0.15,-87.213,169.008,-0.516
4,0.26,-88.786,169.008,-0.525
5,0.33,-97.656,169.008,-0.578
6,0.41,-103.805,169.008,-0.614
7,0.53,-102.545,169.008,-0.607
8,0.59,-103.593,169.008,-0.613
9,0.67,-84.755,169.008,-0.501
10,0.73,-76.971,169.008,-0.455
11,0.83,-73.731,169.008,-0.436
12,0.88,-73.421,169.008,-0.434
13,0.02,37.539,169.008,0.222
14,0.12,-164.837,169.008,-0.975
15,0.25,-185.807,169.008,-1.099
16,0.37,-152.591,169.008,-0.903
17,0.49,186.229,169.008,1.102
18,0.62,-76.650,169.008,-0.454
19,0.71,-59.410,169.008,-0.352
20,0.86,-49.002,169.008,-0.290
