,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,P0-Pinf
0,0,-290.323029,169.263184,39.822472,10.237617,-15.918781,-34.930431,-51.497009,-61.077847,-70.121429,-78.827591,-80.331352,-70.089836,-590.587708,-347.242004,160.849182
0,0,-283.935883,164.593842,37.479973,8.318063,-17.143303,-34.930431,-51.497009,-61.676655,-70.121429,-78.256363,-78.646088,-69.510582,-576.866455,-339.629578,155.604095
0,0,-286.839142,168.09584,38.651218,9.597766,-17.143303,-35.493828,-52.095814,-61.077847,-70.731178,-79.398804,-80.331352,-71.248344,-585.442261,-344.899689,159.1008
0,0,-288.581085,168.09584,39.822472,10.237617,-16.531042,-34.930431,-51.497009,-61.077847,-70.121429,-78.256363,-79.20784,-70.089836,-587.729126,-345.48526,159.683609
,,,,,,,,,,,,,,,,
,,15,16,17,18,19,20,,,,,,,,,
,,-300.774658,-206.17276,174.516113,-93.896103,-79.593903,-69.279015,,,,,,,,,
,,-301.355286,-206.755157,173.344879,-94.534843,-76.558739,-70.424263,,,,,,,,,
,,-297.871399,-206.167633,84.329941,-92.618607,-78.981644,-69.279015,,,,,,,,,
,,-299.613373,-206.750031,148.163025,-92.618607,-78.981644,-71.551048,,,,,,,,,
